nom_amenageur,geo_point_2d,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,colonne_renomme_13,nbre_pdc,condition_acces,reservation,horaires,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,code_insee_commune,epci,id,code,type,pdc
"WAAT sas","45.382478,5.578569",,,"WAAT SAS | FR*WAT",exploitation@waat.fr,,WAAT,"Non concerné",368758,WAAT/FRWATLIVGBARL1,"Parking privé à usage public","14  Rue Louis Armand, Voiron  38500  France",Array,2,"Accès libre",False,24/7,False,,,,,2022-05-28,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.578569,45.382478,,,False,False,38563,PaysVoironnais,368758,368758,irve,Array
"WAAT sas","45.192056,5.677952",,,"WAAT SAS | FR*WAT",exploitation@waat.fr,,WAAT,"Non concerné",368761,WAAT/FRWATLJGBR372D,"Parking privé à usage public","61  Boulevard Paul Langevin, Fontaine  38600  France",Array,2,"Accès libre",False,24/7,False,,,,,2022-05-28,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.677952,45.192056,,,False,False,38169,LaMetro,368761,368761,irve,Array
"WAAT sas","45.216413,5.80693",,,"WAAT SAS | FR*WAT",exploitation@waat.fr,,WAAT,"Non concerné",520115,WAAT/FRWATLPOHCFZ2V,"Parking privé à usage public","10  Avenue Jean Kuntzmann, Montbonnot-Saint-Martin  38330  France",Array,6,"Accès libre",False,24/7,False,,,,,2022-06-23,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.80693,45.216413,,,False,False,38249,LeGresivaudan,520115,520115,irve,Array
"WAAT sas","45.147098,5.693295",,,"WAAT SAS | FR*WA1",exploitation@waat.fr,,WAAT,"Non concerné",706628,WAAT/FRWATLGJV62IQI,"Parking privé à usage public","12  Rue de Comboire, Échirolles  38130  France",Array,2,"Accès libre",False,24/7,False,,,,,2023-02-03,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.693295,45.147098,,,False,False,38151,LaMetro,706628,706628,irve,Array
"WAAT sas","45.192056,5.677952",,,"WAAT SAS | FR*WA9",exploitation@waat.fr,,WAAT,"Non concerné",708671,WAAT/FRWA5LBW5OXT72,"Parking privé à usage public","61  Boulevard Paul Langevin, Fontaine  38600  France",Array,2,"Accès libre",False,24/7,False,,,,,2023-02-10,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.677952,45.192056,,,False,False,38169,LaMetro,708671,708671,irve,Array
"WAAT sas","45.382478,5.578569",,,"WAAT SAS | FR*WA9",exploitation@waat.fr,,WAAT,"Non concerné",708680,WAAT/FRWA5LYO2JCJWD,"Parking privé à usage public","  Rue Louis Leprince Ringuet, Voiron  38500  France",Array,2,"Accès libre",False,24/7,False,,,,,2023-02-10,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.578569,45.382478,,,False,False,38563,PaysVoironnais,708680,708680,irve,Array
"SMEG Développement","45.157305,5.725449",,,"evZen | FR*EVZ",support@evzen.com,,"Norauto - Bornes publiques","Non concerné",740955,"Norauto - Bornes publiques/B5AD1533-2887-456C-B285-907A103E1E65","Parking privé à usage public","23  Avenue Salvador Allende, Échirolles  38130  France",Array,3,"Accès libre",False,24/7,False,,,,,2023-02-24,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.725449,45.157305,,,False,False,38151,LaMetro,740955,740955,irve,Array
"SMEG Développement","45.238983,5.668929",,,"evZen | FR*EVZ",support@evzen.com,,"Norauto - Bornes publiques","Non concerné",746976,"Norauto - Bornes publiques/5A5A9137-B2E4-4A78-B94A-A8D8DB30F534","Parking public","  Rue de la Trémouillière, Saint-Égrève  38120  France",Array,3,"Accès libre",False,24/7,False,,,,,2023-03-31,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.668929,45.238983,,,False,False,38382,LaMetro,746976,746976,irve,Array
"WAAT sas","45.19392,5.708992",,,"WAAT SAS | FR*WAT",exploitation@waat.fr,,WAAT,"Non concerné",747294,WAAT/FRWATLG4H1BNUH,Voirie,"49  Rue Félix Esclangon, Grenoble  38000  France",Array,1,"Accès libre",False,24/7,False,,,,,2023-03-10,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.708992,45.19392,,,False,False,38185,LaMetro,747294,747294,irve,Array
"WAAT sas","45.193048,5.70859",,,"WAAT SAS | FR*WAT",exploitation@waat.fr,,WAAT,"Non concerné",747312,WAAT/FRWATLW1UETWWT,Voirie,"49  Rue Félix Esclangon, Grenoble  38000  France",Array,1,"Accès libre",False,24/7,False,,,,,2023-03-10,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.70859,45.193048,,,False,False,38185,LaMetro,747312,747312,irve,Array
